gene,Epi_mock1,Epi_mock2,Epi_mock3,Epi_KD1,Epi_KD2,Epi_KD3,Fib_mock1,Fib_mock2,Fib_mock3,Fib_KD1,Fib_KD2,Fib_KD3
LINC02982,8,7,13,37,22,35,0,0,0,0,0,0
NKD2,9,10,32,76,42,41,2,0,0,0,0,0
SLC12A7,309,532,578,337,497,552,3,9,6,19,16,4
MIR4635,0,3,3,0,1,0,0,0,0,0,0,0
TERLR1,0,0,0,0,0,0,0,1,0,0,0,0
SLC6A19,0,0,0,0,0,0,0,0,0,0,0,0
SLC6A18,0,0,0,0,0,0,0,0,2,0,0,0
TERT,6,7,15,24,40,26,13656,8412,14302,11665,13540,15374
MIR4457,0,0,0,0,0,0,0,0,0,0,0,0
CLPTM1L,2908,5173,4238,3926,4304,4315,2570,2594,2773,2732,2486,2678
LINC01511,1,1,1,6,1,3,0,0,0,0,0,0
MTCO2P32,0,0,0,0,0,0,0,0,0,0,0,0
SLC6A3,0,0,0,0,0,0,0,1,0,0,0,0
LPCAT1,313,481,590,938,1175,1227,1073,951,1049,1336,1145,1333
MIR6075,0,0,0,0,0,0,0,0,0,1,0,0
MIR4277,0,0,0,0,0,0,0,0,0,0,0,0
MRPL36,353,545,448,623,418,432,758,710,791,722,934,904
NDUFS6,1225,2093,1707,2937,2102,2163,1330,1380,1493,1449,1767,1606
IRX4,0,0,2,0,1,0,0,0,0,0,0,0
CTD-2194D22.4,0,0,0,0,0,0,0,0,0,0,0,0
LOC124901165,1,1,1,0,2,3,0,0,0,0,0,0
LSINCT5,0,0,0,0,0,0,0,0,0,0,0,1
IRX2,0,0,0,0,0,0,0,1,0,0,0,0
LOC100130748,1,0,0,0,0,0,0,0,0,0,0,0
LOC107984098,0,0,0,0,0,0,0,0,0,0,0,0
LINC01019,0,0,0,0,0,0,0,0,0,0,0,0
IRX1,0,0,0,0,0,0,0,0,0,0,0,0
LOC124901168,0,0,0,0,0,0,0,0,0,0,0,0
LOC107986400,0,0,0,0,0,0,0,0,0,0,0,0
LINC02114,0,0,0,0,0,0,0,0,0,0,0,0
LOC105374629,0,0,0,0,0,0,0,0,0,0,0,0
LINC01020,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP73,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS16-DT,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS16,0,2,1,0,2,3,0,0,0,0,0,0
ALG3P1,0,0,0,0,0,0,0,0,0,0,0,0
MTCO1P30,0,1,2,1,0,0,0,0,0,1,0,0
MTCO2P30,0,0,3,0,0,1,0,0,0,0,1,0
MTCO1P31,0,2,0,0,0,0,0,0,0,0,1,0
ICE1,610,1647,1288,442,789,831,904,680,791,634,671,764
HMGB3P3,0,0,0,0,0,0,0,0,0,0,0,0
LINC02145,0,0,0,0,0,0,0,0,0,0,0,0
MED10,316,557,438,664,546,614,891,814,924,853,957,1027
UBE2QL1,0,0,0,1,0,0,0,0,0,0,0,0
LINC01018,0,0,2,0,0,0,0,0,0,0,0,0
NSUN2,1972,4044,3439,2258,3032,3026,2155,1694,1852,1362,1615,1789
SRD5A1,504,1274,927,903,1228,953,710,614,515,691,601,691
LINC02102,5,6,8,2,12,4,3,2,2,0,2,1
TENT4A,427,910,765,647,991,888,713,556,801,796,908,935
LINC02236,51,53,95,135,160,187,0,1,0,0,0,0
MIR4278,0,0,0,0,0,0,0,0,0,0,0,0
LOC105374642,0,1,0,0,0,0,0,0,0,0,0,0
RNA5SP176,0,0,0,0,0,0,1,0,0,0,0,0
LINC02123,0,0,0,0,0,0,0,0,0,0,0,0
LOC105374645,0,0,0,0,0,0,0,0,0,0,0,0
LINC02142,0,0,0,0,0,0,0,0,0,0,0,0
ADCY2,0,0,0,0,0,0,0,0,1,0,0,0
CFAP90,0,0,0,0,0,0,0,0,0,0,0,0
MTRR,888,1731,1525,1129,1325,1405,729,627,648,522,644,624
FASTKD3,210,338,263,260,311,259,134,108,146,89,135,140
RNU1-76P,0,0,0,0,0,0,0,0,0,0,0,0
LINC02226,0,0,0,0,0,0,0,0,0,0,0,0
MIR4458HG,0,0,0,0,0,0,241,202,254,200,284,201
LOC100419318,0,0,0,0,0,0,0,0,0,0,0,0
MIR4458,0,0,0,0,0,0,0,0,0,0,0,0
LOC105374647,0,0,0,0,0,0,0,0,0,0,0,0
MTND6P2,0,0,0,0,0,0,0,0,0,0,0,0
MTCYBP37,0,0,0,0,0,0,0,0,0,0,0,0
LINC02199,0,0,0,0,0,0,0,0,0,0,0,0
SEMA5A,26,18,32,31,28,55,3421,1918,2608,2733,2790,3551
MIR4636,0,0,0,0,0,0,0,0,0,0,0,1
SEMA5A-AS1,0,0,0,0,0,0,2,2,1,1,5,1
SNHG18,0,0,0,0,0,0,267,219,371,362,440,286
TAS2R1,0,0,0,1,0,0,0,0,0,1,0,0
LINC02112,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP177,0,0,0,0,0,0,0,0,0,0,0,0
LINC02221,0,0,0,0,0,0,0,0,0,0,0,0
ATPSCKMT,216,396,326,253,212,276,354,287,275,273,279,314
CCT5,4513,7313,7148,6051,6580,6893,5881,5540,6451,4456,5935,6106
CMBL,3,7,3,1,2,0,398,448,446,657,417,448
MARCHF6-DT,25,52,39,30,27,20,6,5,7,3,9,10
MARCHF6,1631,3570,2639,1684,2113,2110,1514,1307,1610,1654,1665,1614
ROPN1L,4,9,6,1,2,5,8,4,2,2,2,0
MIR6131,0,0,0,0,0,0,0,0,0,0,0,0
LINC02212,31,68,78,110,111,101,0,0,0,0,0,0
LINC02213,0,0,1,0,0,0,0,0,0,0,0,0
ANKRD33B,438,1109,1032,929,1965,1655,175,162,140,144,87,86
DAP,1220,2184,1792,1671,1873,1574,5681,4764,5405,5670,5258,5693
DAP-DT,0,0,0,0,0,0,0,0,0,0,0,1
CTNND2,0,0,0,0,0,0,0,0,0,1,0,0
RNU6-429P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-679P,0,0,0,0,0,0,0,0,0,0,0,0
LOC105374655,0,0,0,0,0,0,0,0,0,0,0,0
LINC01194,0,0,0,0,0,0,0,0,0,0,0,0
LOC100420683,0,0,0,0,0,0,0,0,0,0,0,0
RPS23P5,0,0,0,0,0,0,0,0,0,0,0,0
NENFP3,0,0,0,0,0,0,0,0,0,0,0,0
DNAH5,222,319,371,856,885,818,87,60,75,56,56,68
TRIO,644,1457,1287,731,1540,1705,5370,3461,4360,4681,4257,4704
OTULINL,26,52,51,52,72,74,156,46,209,117,197,186
LOC100422687,0,0,0,0,0,0,2,0,0,0,0,2
CCT6P2,0,1,1,0,1,0,1,0,0,2,0,0
OTULIN-DT,25,44,31,21,18,17,2,6,3,7,3,10
OTULIN,311,681,561,553,732,755,348,304,444,399,426,433
ANKH,245,437,419,421,492,507,330,188,331,288,416,443
MIR4637,0,0,0,0,0,0,0,0,0,0,0,0
UQCRBP3,0,0,0,0,0,0,0,0,0,0,0,0
LOC124900197,0,0,0,0,1,0,0,0,0,0,0,0
MARK2P5,0,0,0,0,0,0,0,0,2,0,0,0
LOC391741,0,0,0,0,0,0,0,0,0,0,0,0
FBXL7,0,0,0,0,0,0,282,237,297,420,312,283
MIR887,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP178,0,0,0,0,0,0,0,0,0,0,0,0
MARCHF11,0,0,0,0,0,0,0,0,1,0,0,0
MARCHF11-AS1,0,0,0,0,0,0,0,0,0,0,0,0
NACAP6,0,0,0,0,0,0,0,0,0,0,0,0
LINC02150,0,0,0,0,0,0,0,0,0,0,0,0
ZNF622,419,808,631,666,776,710,948,898,966,859,877,896
RETREG1,45,49,76,147,97,100,0,1,3,0,2,2
RETREG1-AS1,0,0,0,0,1,0,0,0,0,0,0,0
MYO10,68,167,159,67,92,123,3494,3049,2594,2705,2621,3729
RNA5SP179,0,0,0,0,0,0,0,0,0,0,0,1
RNU6-660P,0,0,0,0,0,0,0,0,0,0,0,0
BASP1,0,0,0,0,0,0,3344,3028,3624,4291,4623,4775
BASP1-AS1,0,0,1,0,0,0,0,1,5,0,0,0
RNA5SP180,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1003P,0,0,0,0,0,0,0,0,1,0,0,1
LOC646012,0,0,0,0,0,0,0,0,0,0,0,0
LINC02111,0,1,0,0,0,0,0,0,0,0,0,0
LINC02217,0,0,0,0,0,0,0,0,0,0,0,0
LINC02218,0,0,0,0,0,0,0,0,0,0,1,0
H3Y2,0,0,0,0,0,0,0,0,0,0,0,0
TAF11L2,0,0,0,0,0,0,0,0,0,0,0,0
H3P17,0,0,0,0,0,0,0,0,0,0,0,0
H3P18,0,0,0,0,0,0,0,0,0,0,0,0
TAF11L3,0,0,0,0,0,0,0,0,0,0,0,0
TAF11L4,0,0,0,0,0,0,0,0,0,0,0,0
TAF11L5,0,0,0,0,0,0,0,0,0,0,0,0
TAF11L6,0,0,0,0,0,0,0,0,0,0,0,0
TAF11L7,0,0,0,0,0,0,0,0,0,0,0,0
TAF11L8,0,0,0,0,0,0,0,0,0,0,0,0
TAF11L9,0,0,0,0,0,0,0,0,0,0,0,0
TAF11L10,0,0,0,0,0,0,0,0,0,0,0,0
TAF11L11,0,0,0,0,0,0,0,0,0,0,0,0
TAF11L12,0,0,0,0,0,0,0,0,0,0,0,0
H3P19,0,0,0,0,0,0,0,0,0,0,0,0
H3P20,0,0,0,0,0,0,0,0,0,0,0,0
H3P21,0,0,0,0,0,0,0,0,0,0,0,0
TAF11L13,0,0,0,0,0,0,0,0,0,0,0,0
TAF11L14,0,0,0,0,0,0,0,0,0,0,0,0
LOC391768,0,0,0,0,0,0,0,0,0,0,0,0
H3Y1,0,0,0,0,0,0,0,0,0,0,0,0
LINC02223,0,0,0,0,0,0,1,2,0,0,0,0
RPL36AP21,0,0,0,0,0,0,0,1,0,1,1,2
LOC124900199,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL58P,0,0,0,0,0,0,0,0,0,0,0,0
UBE2V1P12,0,0,0,0,0,0,0,0,0,0,0,0
LOC100421308,0,0,0,0,0,0,0,0,0,0,0,0
RPL32P14,0,0,0,0,0,0,0,0,0,0,0,0
CDH18,0,0,0,0,0,0,0,0,0,0,0,0
CDH18-AS1,0,0,0,0,0,0,0,0,0,0,0,0
LINC02241,0,2,0,0,0,0,0,0,0,0,0,0
LOC100419319,0,0,0,0,0,0,0,0,0,0,0,0
CDH12,2,0,0,0,0,0,0,0,0,0,1,0
PRDM9,3,13,9,1,3,3,0,0,0,0,0,0
TRPC6P9,0,0,0,0,0,0,0,0,0,0,0,0
LINC02899,71,135,85,67,67,76,0,0,0,0,0,0
LOC124900210,0,0,0,0,0,0,0,0,0,0,0,0
ADH5P5,0,2,0,1,0,0,0,0,0,0,0,0
CDH10,0,0,0,0,0,0,0,0,0,0,1,0
LINC02239,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-374P,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-43P,0,0,0,0,0,0,0,0,0,0,0,0
CCNB3P1,0,0,0,0,0,0,0,0,0,0,0,0
CDH9,0,0,0,0,0,0,0,0,0,3,0,0
RNU6-738P,0,0,0,0,0,0,0,0,0,0,0,0
PURPL,0,1,0,0,0,0,39,54,26,45,35,44
LOC100533667,0,0,0,0,0,0,0,0,0,0,0,0
LINC02103,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-909P,0,0,0,0,0,0,0,0,0,0,0,0
DPPA3P12,0,0,0,0,0,0,0,0,0,0,0,0
LOC124900206,0,0,0,0,0,0,0,0,0,0,0,0
LOC100533677,0,0,0,0,0,0,0,0,0,0,0,0
LINC02064,0,0,0,0,0,0,0,0,0,0,0,0
LOC100420990,0,0,0,0,0,0,0,0,0,0,0,0
UBL5P1,0,0,0,0,0,0,0,0,0,0,0,0
PGBD3P2,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP207,0,0,0,0,0,0,0,0,0,0,0,0
RPL19P11,0,0,0,0,0,0,0,0,0,0,0,0
CDH6,1,0,0,6,14,4,142,45,201,212,295,231
DROSHA,791,1626,1332,952,1172,1238,1296,1020,1354,1315,1363,1367
C5orf22,707,1872,1192,633,731,711,732,585,685,675,683,635
RNU6-363P,0,0,0,0,0,0,0,0,0,0,0,0
PDZD2,9,20,26,6,14,19,7,5,5,6,10,7
RNU6-358P,0,0,0,0,0,0,0,0,0,0,0,0
RPL9P17,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-760P,0,0,0,0,0,0,0,0,0,0,0,0
RPL21P56,0,0,0,2,1,1,0,3,3,1,0,1
RPL5P14,0,0,0,0,0,0,0,0,0,0,0,0
TPT1P5,0,0,0,0,0,0,0,0,0,0,1,0
MIR4279,0,0,0,0,0,0,0,0,0,0,0,0
GOLPH3,1264,2564,1967,1623,1913,1639,1704,1340,1801,1605,1648,1603
RPL27P10,0,0,0,0,0,0,0,0,0,0,0,1
MTMR12,559,1381,1031,515,807,800,754,557,682,663,612,721
RNU6-1079P,0,0,0,0,0,0,0,0,0,0,0,1
RNU6-378P,0,0,0,0,0,0,0,0,0,0,0,0
ZFR,606,1199,1193,1400,2001,1844,1665,1358,1712,2278,2142,2251
MIR579,0,1,0,0,0,0,0,0,0,0,0,0
TMEM183AP2,0,0,0,0,0,1,0,0,0,0,1,0
SUB1,1430,2548,2143,2662,2191,2263,2643,2534,2780,3026,3244,3708
NPR3,2,1,9,7,7,1,1604,998,833,2529,1039,2916
LOC124900637,1,0,0,0,0,0,21,12,12,7,4,28
LINC02120,0,0,0,0,0,0,2,0,0,1,0,2
RPS8P8,5,17,8,15,11,4,21,16,18,24,24,34
LINC02160,0,0,0,0,0,0,0,0,0,0,0,0
TARS1,3776,7301,6410,5142,6006,6034,2562,2423,2913,2343,2784,2632
ADAMTS12,0,1,0,1,0,0,355,368,326,353,238,248
RNU6-923P,0,0,0,0,0,0,0,0,0,0,0,0
RXFP3,0,0,0,0,0,0,1,0,0,0,0,0
SLC45A2,0,6,0,0,3,2,1,1,2,2,0,0
AMACR,16,38,37,20,29,25,51,25,41,53,42,42
C1QTNF3-AMACR,1,0,0,0,0,0,0,0,0,1,0,0
