gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LRRC47,1055.6266167323968,0.18973264770414427,0.09001550292930781,2.1077774553250865,0.035050243822347116,0.09436508632482475
RN7SL574P,1.2178569368211338,-1.2089986838213187,1.7951566782740922,-0.6734780860374148,0.5006431856445941,NA
CEP104,738.8841755633284,-0.08453895485129985,0.14591511301215684,-0.5793707937864978,0.5623390066340084,0.7273275279643394
DFFB,104.36032338404824,0.8194452989905909,0.18195675292670768,4.5035168291921766,6.683807226880443e-6,6.75767141704782e-5
C1orf174,561.3898906520617,-0.2536898655616816,0.09499085782830187,-2.6706766457487077,0.007569852967695311,0.027517854225860606
LINC01134,32.78744361849696,1.2397044322198907,0.31723398137111836,3.9078551007107083,9.311912197234887e-5,6.588968677112782e-4
LINC01345,0.16642162416479384,0,4.40735632395676,0,1,NA
AJAP1,370.38623586893544,0.7853812465085365,0.21330481873518664,3.6819667327045735,2.314416166977217e-4,0.0014370360242978995
MIR4689,0.2548031923564479,-2.5710584673315995,4.322832196954449,-0.5947624960189245,0.5520022401221909,NA
NPHP4,244.0409956226205,-0.08933849486334731,0.1445519606042328,-0.6180372406566396,0.5365507904728074,0.705716747680089
KCNAB2,125.65974214685477,-0.6128146315246256,0.21827782739071974,-2.8074983100673827,0.004992794181816677,0.01953188277044106
CHD5,2.3118204491820533,-0.3978552246461788,1.1349948225471098,-0.3505348365848296,0.7259373507024286,NA
RPL22,1205.2518754438931,0.5086260151637652,0.15105504216749732,3.3671568182396414,7.594748760043595e-4,0.00395363744078134
RNF207,90.18015448001934,0.42133638633415416,0.2393137721186653,1.7606023364390067,0.07830573291229835,0.1764809507432057
ICMT,2156.245071041337,0.4212056042464396,0.13451621979018205,3.131262571186097,0.0017405646388449112,0.008038339848778853
ICMT-DT,6.600694660147244,0.07644343348488504,0.627141745068971,0.1218917957318852,0.9029847132347415,0.967844237128827
GPR153,101.6772427983967,0.005543294918022708,1.6817660586064322,0.0032961153483000295,0.9973700852150309,1
ACOT7,1564.2000741286522,-0.24320150122111542,0.15370399272502525,-1.5822718519498724,0.11358752367008348,0.23442707182120057
HES2,0.14419377974812903,-0.9562153382556025,4.407356323966969,-0.2169589359171516,0.8282403470687358,NA
ESPN,1.3337464323504258,-4.861549503524334,2.2188123033077867,-2.1910593772518645,0.028447495892931503,NA
TNFRSF25,12.902410747777447,1.3355135764328736,0.8957078057144767,1.4910147794989665,0.13595761466377285,0.2682459437624666
PLEKHG5,56.65373203529913,1.4097885132794852,0.5105122788691259,2.761517345679547,0.005753346039985203,0.021937156440324724
NOL9,598.8476272864516,0.2567075094540616,0.11439733141292781,2.243999106303031,0.024832458845013432,0.07207353247050359
RNU6-731P,0.16897715139288252,0,4.407356323956298,0,1,NA
TAS1R1,0.3743777798759241,1.4519210261708826,3.3788706491908704,0.42970601035543354,0.6674095107699655,NA
ZBTB48,228.05123992362448,-0.19502628972665467,0.15826573611067252,-1.2322710810271411,0.21784783870519495,0.3790587292998277
KLHL21,862.661460604932,0.317300006983753,0.13121259027435722,2.4182131175087602,0.015596938896297194,0.049866916075924125
PHF13,903.1183951315767,-0.18239574602891281,0.15514880842341097,-1.1756180913174867,0.23974752285278886,0.40646681151739406
THAP3,203.03625972414622,0.008356369473129326,0.18473031226506573,0.04523550775542968,0.9639195921107165,1
DNAJC11,791.511686586849,-0.3465683607054322,0.158622218179975,-2.1848664372617135,0.028898641016056863,0.08101635975113582
CAMTA1,803.9132516934583,0.20760435751717604,0.11353496823658135,1.8285499237959466,0.06746706027274653,0.15738689949144977
RPL37P9,0.08274222118947187,0.9673219999581915,4.407356323966969,0.21947896399888203,0.8262769646979895,NA
VAMP3,2393.116133271827,-0.35982974655825917,0.09941433567234202,-3.619495559918197,2.9517787558026366e-4,0.001770601489575341
PER3,151.7547802003163,-0.8821777054100552,0.22368009902915753,-3.9439257637983256,8.015848127350442e-5,5.798714872716024e-4
UTS2,18.42467715872773,-0.2573641164152609,0.410399294390886,-0.6271066250180579,0.53058934471671515,0.7000399702053376
TNFRSF9,1.205413093316925,0.05342333636159226,1.5665193593419786,0.0341032085195761,0.9727948499462225,NA
PARK7,4629.0891643125415,0.196609852657343,0.12785470757455977,1.5377599807397624,0.12410731188696456,0.24996195466916876
ERRFI1,1716.7881806285932,0.4588763746446837,0.12458677315313135,3.6831869309326466,2.303361230535111e-4,0.0014319260372656132
LOC100129776,0.3721484997823661,-0.47897542206904453,4.3024703653790555,-0.11132567604026854,0.9113580954176627,NA
SLC45A1,4.608250363215188,0,1.863443107793991,0,1,1
RERE,938.2240964052452,-0.3616716457036214,0.1462222068039353,-2.4734385672935124,0.013381980910147284,0.04409630778193674
LOC124900452,0.08274222118947187,0.9673219999581915,4.407356323966969,0.21947896399888203,0.8262769646979895,NA
RPL7P11,0.6515068305412247,0.0055506840020662085,3.5461146769505736,0.001565286096962728,0.9987510828999937,NA
RPL7P7,0.476530055469001,-1.8419318952727715,2.718603241798888,-0.6775287643863667,0.4980705261218871,NA
RPL27P3,1.0349586013376737,-0.9550803604411423,1.883491128182939,-0.507079829657885,0.612098806959979,NA
ENO1,33856.47068669406,0.4991404485230322,0.11149881522693791,4.476643518651853,7.582570174452642e-6,7.540913150603459e-5
MIR6728,0.2433136609421003,-2.4754549082732544,4.327951214645906,-0.5719692264312608,0.567342823144938,NA
ENO1-AS1,3.009249894062799,-1.3828098643711157,1.0357323931531022,-1.335103423927293,0.18184249900771132,NA
RNU6-304P,0.24848857505140998,-0.9878663570422251,4.362822781406466,-0.22642825678189968,0.820868352819503,NA
CA6,0.6679254734718624,0,4.407356323931283,0,1,NA
SLC2A7,0.09934890067188774,0,4.407356323966969,0,1,NA
SLC2A5,0.6872155118064295,0,2.9885075341528213,0,1,NA
GPR157,231.22823501964612,2.1626255157884757,0.3025001943191457,7.149170666339634,8.730373342582041e-13,4.2962478008835764e-11
MIR34AHG,238.09094391280792,0.9010238462136146,1.5861809008470358,0.5680460820909262,0.570003677643775,0.7284361105750615
LNCTAM34A,37.22917104213105,0,1.6889545692799302,0,1,1
H6PD,1131.8171215938607,-0.011093465982534067,0.1543959448799701,-0.07185076001288962,0.9427206765259034,0.9943819788604945
SPSB1,442.9628982314073,-0.24485378951187808,0.215790123971055,-1.134684873459369,0.25650737743714763,0.42474373293006223
LINC02606,16.92769849003178,-1.1165315041306272,0.5029842932910271,-2.2198138570593517,0.026431405892497102,0.07556231584909023
SLC25A33,451.08571246911066,-0.03894083939575222,0.18365635492191576,-0.21203099349493515,0.8320828546885632,0.9205959838150707
RPL9P11,3.3492604751132076,-0.11802924677554578,1.001873215043178,-0.11780856599750404,0.9062193421322509,NA
TMEM201,439.9813591154115,1.545614284822696,0.2114845155258612,7.30840402655244,2.7033392091922104e-13,1.462881708718034e-11
PIK3CD,266.2687868968491,0.03624189303525748,0.4164539772815433,0.0870249655720209,0.9306516677290823,0.9865790058204423
PIK3CD-AS2,6.190469805393796,-0.9562416940367655,1.820643060866816,-0.5252219474483344,0.5994289094902694,0.746107464616715
